BCG,RA,Dec,RMS (Jy),ALMA flux,Flux_err
ES1-12,9.7627,-44.3645,2.15E-05,6.45E-02,2.15E-02
ES1-18,7.0308,-43.3448,2.23E-05,0.18,0.029
ES1-25,6.9781,-43.2798,2.20E-05,0.258,0.05
ES1-26,8.9283,-43.0484,2.19E-05,6.57E-02,2.19E-02
ES1-34,9.2106,-42.1178,2.60E-05,0.853,0.155
ES1-35,9.3423,-43.5076,2.18E-05,2.99E-01,1.06E-01
CDFS-18,53.3197,-26.8963,2.54E-05,4.226,0.059
CDFS-19,53.4837,-27.2594,2.37E-05,0.425,0.109
XMM-11,36.0999,-2.96742,2.30E-05,0.47,0.069
XMM-19,35.7742,-4.22653,2.60E-05,7.80E-02,2.60E-02
XMM-27,36.5651,-4.94117,2.20E-05,7.60E-02,4.20E-02
XMM-29,36.8772,-4.53427,2.40E-05,0.346,0.05
XMM-30,34.6885,-5.71579,2.21E-05,0.271,0.068
XMM_113,36.109747,-3.3917935,1.90E-05,3.54E-01,0.056
XMM_z_0.81,34.8704,-4.11672,1.92E-05,0.397,0.086
XMM_z_0.9,36.1217,-4.17031,1.90E-05,0.668,0.147
XMM_z_1.0,35.6521,-3.84174,1.85E-05,0.253,0.048
ES1_z_0.88,8.8196,-42.6854,0,0.106,0.03
ES1_z_0.99,9.4193,-43.6527,0,0.357,0.078
ES1_z_0.99b,8.6805,-42.4578,0,0.288,0.081
ES1_z_1.04,8.8564,-42.2398,0,0.47,0.084
ES1_z_1.38,8.6401,-42.4928,0,0.515,0.057
ES1_z_1.40,8.2981,-43.4984,0,0.465,0.058
ES1_z_1.60,9.4916,-42.9839,0,0.29,0.038
ES1_z_1.65,7.9687,-44.4389,0,1.98,0.11
ES1_z_1.70,7.3415,-43.4452,0,0.971,0.067