id,ref_id,file_id,RA,Dec,redshift,spec_z,S/N,RMS,contour_steps
SpARCS_ALMA_35.65_-3.84,BCG-1,XMM_z_1.0,35.6520781,-3.8418367,0.5352355,1,7.47,1.75E-05,1
SpARCS_ALMA_8.82_-42.69,BCG-2,ES1_z_0.88,8.8196586,-42.685469,0.56395,1,3.63,1.63E-05,1
SpARCS_ALMA_53.48_-27.26,BCG-3,CDFS19,53.4836952,-27.2591882,0.69484,1,3.77,2.29E-05,1
SpARCS_ALMA_9.76_-44.36,BCG-4,ES1-12,9.7627,-44.3645,0.74744,1,3.5,2.06E-05,1
SpARCS_ALMA_34.87_-4.12,BCG-5,XMM_z_0.81,34.8704822,-4.1166859,0.7827207,1,5.02,1.77E-05,1
SpARCS_ALMA_36.1_-2.97,BCG-6,XMM-11,36.1001137,-2.9675557,0.79,0,5.6,2.11E-05,1
SpARCS_ALMA_7.03_-43.34,BCG-7,ES1-18,7.0308302,-43.3448307,0.8068,1,4.91,2.22E-05,1
SpARCS_ALMA_53.32_-26.9,BCG-8,CDFS-18,53.3197252,-26.8962108,0.813,1,157.48,2.46E-05,25
SpARCS_ALMA_36.12_-4.17,BCG-9,XMM_z_0.9,36.1216926,-4.1703341,0.84957,1,5.28,1.80E-05,1
SpARCS_ALMA_8.93_-43.05,BCG-10,ES1-26,8.9283,-43.0484,0.85192,1,3.22,2.25E-05,1
SpARCS_ALMA_7.34_-43.45,BCG-11,ES1_z_1.70,7.3415835,-43.4451603,0.91651,1,16.94,1.72E-05,4
SpARCS_ALMA_8.68_-42.46,BCG-12,ES1_z_0.99b,8.6804446,-42.4577678,0.91886,1,5.16,1.71E-05,1
SpARCS_ALMA_8.86_-42.24,BCG-13,ES1_z_1.04,8.8562794,-42.2398041,1.04,0,9.79,1.58E-05,2
SpARCS_ALMA_35.77_-4.23,BCG-14,XMM-19,35.7742,-4.22653,1.04789,1,2.94,2.78E-05,1
SpARCS_ALMA_6.98_-43.28,BCG-15,ES1-25,6.9781036,-43.2797677,1.08807,1,6.95,2.04E-05,1
SpARCS_ALMA_9.42_-43.65,BCG-16,ES1_z_0.99,9.4192967,-43.6527405,1.19372,1,5.69,1.68E-05,1
SpARCS_ALMA_36.57_-4.94,BCG-17,XMM-27,36.5651,-4.94117,1.38,0,3.1,2.31E-05,1
SpARCS_ALMA_8.64_-42.49,BCG-18,ES1_z_1.38,8.6401497,-42.4928162,1.38,0,13.64,1.61E-05,2
SpARCS_ALMA_8.3_-43.5,BCG-19,ES1_z_1.40,8.29807,-43.4984452,1.4,0,11.63,1.64E-05,2
SpARCS_ALMA_34.69_-5.72,BCG-20,XMM-30,34.6885198,-5.7153828,1.45,0,6.41,2.02E-05,1
SpARCS_ALMA_36.88_-4.53,BCG-21,XMM-29,36.8771823,-4.5343652,1.45,0,6.81,2.20E-05,1
SpARCS_ALMA_9.49_-42.98,BCG-22,ES1_z_1.60,9.4914744,-42.9838872,1.6,0,7.73,1.56E-05,1
SpARCS_ALMA_36.11_-3.39,BCG-23,XMM-113,36.1096791,-3.3918054,1.636,1,6.07,1.81E-05,1
SpARCS_ALMA_7.97_-44.44,BCG-24,ES1_z_1.65,7.9687304,-44.4389452,1.65,0,58.66,1.69E-05,10
SpARCS_ALMA_9.21_-42.12,BCG-25,ES1-34,9.21063,-42.1178043,1.7,0,5.27,2.16E-05,2
SpARCS_ALMA_9.34_-43.51,BCG-26,ES1-35,9.3423064,-43.5074182,1.7,0,2.81,2.06E-05,1